oii_3726_flux,neiii_3869_flux,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6731_flux,Redshift,bptclass
49.67466,1.424455,114.1467,36.18832,73.52751,145.3708,26.49167,0.03645184,4
73.61369,0.3612739,61.42209,82.36267,105.3284,374.8391,55.71835,0.0536029,1
12.24477,0.8424631,9.889499,18.87344,44.58805,70.93686,14.40182,0.1284871,5
1.868647,-9.538221,13.43285,15.68707,30.21294,70.54305,3.089702,0.1285717,2
7.682156,-8.248636,3.114206,9.30844,18.60465,38.36275,2.473252,0.06228172,2
10.75341,-1.341599,4.586432,7.512946,25.55727,71.94921,8.330481,0.1254174,2
540.5112,4.697946,138.4747,50.78482,210.6066,207.5575,71.25947,0.02158549,4
8.733731,8.496259,6.644042,13.08595,19.35867,45.71928,5.236155,0.06296081,2
25.71367,2.222871,19.54163,10.96852,16.40988,30.46319,9.647084,0.09139155,2
15.90794,-2.288937,15.68244,64.8153,91.55006,311.4394,22.45355,0.06740563,1
15.92505,0.7427074,18.27027,7.065391,40.7547,55.85646,15.40887,0.06307655,5
16.69736,-0.9044897,6.973098,31.34226,66.77378,147.2138,14.12192,0.1262772,2
38.78268,-8.055924,22.73809,8.804711,19.01625,32.0859,9.436978,0.09138892,2
0,10.78895,28.87652,28.29921,38.69307,136.375,22.25997,0.0215799,1
36397.11,7.261523,21.51753,31.28289,37.23867,128.0259,19.00923,0.02157441,1
7.177773,2.645264,5.505061,8.118803,27.05975,71.16789,0,0.1255432,2
8.929283,6.574096,21.30934,6.295886,18.58406,32.07062,6.79473,0.06293288,2
13.22717,16.60014,7.650269,27.96321,64.36655,148.5609,19.5424,0.1261984,2
19.23849,5.777762,16.70714,62.98207,96.56956,306.3833,23.46614,0.06737973,1
5.063746,-10.7056,10.87358,18.82906,18.02924,61.8816,-20.34635,0.09773864,2
10.20476,5.705251,2.032443,5.64107,6.990503,40.95184,-0.9449068,0.122412,2
4.943628,-0.1081331,10.87778,11.05687,50.72423,81.11268,13.46391,0.1451134,5
5.407825,0.3074826,5.917033,19.72272,29.63193,69.34895,6.995425,0.2031962,2
11.07147,1.227312,15.14741,32.74212,61.70764,156.6557,30.41875,0.0909887,2
12.42778,0.9836195,9.302483,7.79443,17.79335,22.4886,3.334437,0.09798842,5
4.523538,2.534054,10.96833,16.23257,7.624935,64.81115,1.751535,0.2031299,2
18.13626,0.8797317,15.99098,37.64988,66.1244,168.7761,22.56966,0.09099656,1
14.77664,2.575566,15.29429,12.73415,43.22586,32.36446,5.258232,0.1294421,5
25.42851,6.073268,10.52765,6.398813,31.05795,31.01813,11.24108,0.1294907,5
101.2046,3.887674,39.88118,112.6157,147.6067,465.4098,64.41814,0.06265986,1
10.8484,9.564679,9.521001,15.71293,59.65618,80.28764,16.47935,0.1450628,5
8.359503,1.773178,11.03037,32.44992,41.48017,134.9984,10.88439,0.1554309,2
8.726041,2.110436,6.74171,31.61452,47.26381,128.9059,20.84791,0.1554128,2
8.942266,0.5260001,5.889823,5.928367,18.06807,20.98145,9.598403,0.09799004,5
87.97709,1.893747,38.83449,119.7019,144.3199,473.5915,60.78732,0.06265516,1
415.0639,113.1788,1680.568,424.3076,228.5038,1548.974,94.97102,0.1473004,1
31.59121,11.96353,92.74484,15.58205,90.28859,107.7912,25.18388,0.1432976,5
41.83003,3.115184,11.12292,39.92097,76.60922,172.1248,18.72923,0.1526121,2
2.72066,1.645459,7.959375,17.72133,30.33762,83.19878,6.623621,0.06249849,2
24.41526,11.11644,104.8663,18.01187,102.2864,120.4901,27.21209,0.1432015,5
43.76955,0.9847882,11.28054,38.16251,81.89528,187.4059,20.593,0.1527078,2
-9.370187,-4.402068,7.518426,27.67723,34.824,91.11092,6.380608,0.0625282,2
19.43293,12.94061,17.50846,8.97653,43.96709,34.11702,7.196265,0.06759457,5
7382.508,3.76438,21.19815,26.33727,25.69921,98.33821,19.74626,0.0216521,1
9.467737,1.336121,3.889104,5.950491,11.77967,31.5817,3.246982,0.1454684,2
427.0777,99.0134,1647.43,472.8501,230.83,1584.278,92.22054,0.1473114,1
6.155222,5.467003,5.061472,6.306112,18.80316,23.66136,7.010397,0.09848519,5
9.268005,-4.135096,9.472347,2.965794,26.53438,27.41569,10.8906,0.09854387,5
11.98316,4.265384,11.58125,9.160406,13.66166,26.48458,10.75471,0.0983509,2
244.3521,105.2143,986.9863,122.1652,552.0638,492.7419,194.1819,0.06758778,4
4.838453,0.644174,8.291881,7.860754,14.89399,41.12587,528.4762,0.1461377,2
0,3.735689,20.9408,33.48423,25.88362,110.7399,24.54501,0.02165231,1
261.9294,106.1306,966.6317,122.3304,547.7561,472.3678,183.8424,0.06763429,4
3.148232,-4.302902,3.39235,9.789638,22.81287,32.29578,27.4279,0.1460339,5
-1.016173,0.1667543,4.154623,7.40468,8.230973,18.20489,0.02818416,0.1425823,2
11.7417,1.130993,12.1044,5.016534,18.8103,23.94296,5.658797,0.09833237,5
198.6765,10.77749,107.4063,194.5769,229.4589,724.7258,90.24107,0.06259136,1
13.26235,4.131592,13.49667,53.70448,91.39256,271.502,27.88687,0.09118938,1
71.7244,0.6299008,31.13121,112.2942,170.8318,523.62,60.77995,0.09830175,1
10.5225,7.237985,8.858551,12.35249,31.2251,48.39938,3.908323,0.1439173,5
207.9478,3.217403,115.3136,206.3323,220.635,732.7711,90.74305,0.06260142,1
47.37184,4.112462,47.29041,39.15329,17.2116,123.5081,15.23939,0.1254564,1
56.71465,4.834811,25.31132,57.52115,88.04391,270.9315,35.24282,0.09768173,1
45.22399,-5.615048,24.98267,14.05964,7.728051,57.5878,11.09167,0.03034743,1
69.61906,4.387838,27.63784,103.9028,155.741,486.8309,56.07576,0.09832241,1
9.198826,-3.001675,3.101952,14.16893,29.0342,39.67025,2.752112,0.1438666,5
13.87865,0.0332607,9.987125,53.21636,96.59939,271.3318,27.16348,0.09113582,2
47.69399,3.821944,60.51614,36.50489,19.75354,141.8279,16.09504,0.1254306,1
50.64994,-3.07967,24.4036,55.33477,85.27718,256.6191,40.40842,0.09777857,1
8.482317,-2.642451,4.284774,4.407211,18.259,23.02035,4.311391,0.1451567,5
8.081645,2.395829,8.636382,4.775193,32.9475,55.67607,12.37474,0.1448559,2
10.80974,4.28277,5.119679,13.88602,40.13726,46.51106,11.97145,0.1448964,5
40.08301,0.6898237,23.40424,17.53957,5.879836,57.26432,10.91127,0.03036259,1
29.42353,17.64937,46.55729,7.960468,85.31347,50.40124,19.20558,0.06084378,5
5.032444,4.282298,5.961378,8.699115,33.10292,49.99338,20.76042,0.1467383,5
34.5886,0.03660028,13.25229,36.30372,88.57602,202.8681,20.23233,0.1490629,2
41.96344,5.267823,24.30521,49.36584,80.86584,222.7212,31.73342,0.09888671,1
24.07619,5.498502,21.37016,41.57892,73.54416,193.7819,27.4138,0.09882925,1
21.90285,-0.04995466,15.48654,2.674402,20.17333,22.91956,3.828683,0.08816301,5
7.386456,1.707664,19.73507,2.167771,27.13676,20.49056,5.187601,0.08805942,5
42.80369,-6.193736,13.35403,42.23775,88.45087,215.3962,26.34444,0.1492066,2
